geneid	chr	left	right
ENSG00000215270.3	chr22	16122719	16122720
ENSG00000237438.2	chr22	17517459	17517460
ENSG00000273203.1	chr22	17548710	17548711
ENSG00000273442.1	chr22	17561590	17561591
ENSG00000177663.9	chr22	17565843	17565844
ENSG00000183307.3	chr22	17602256	17602257
ENSG00000069998.8	chr22	17646176	17646177
ENSG00000093072.11	chr22	17702878	17702879
ENSG00000099954.14	chr22	17840836	17840837
ENSG00000182902.9	chr22	18043138	18043139
ENSG00000131100.8	chr22	18111583	18111584
ENSG00000099968.13	chr22	18111620	18111621
ENSG00000015475.14	chr22	18257535	18257536
ENSG00000269220.1	chr22	18260087	18260088
ENSG00000093100.13	chr22	18294262	18294263
ENSG00000243156.3	chr22	18507324	18507325
ENSG00000225335.2	chr22	18560562	18560563
ENSG00000215193.8	chr22	18560688	18560689
ENSG00000235617.1	chr22	18584377	18584378
ENSG00000225225.1	chr22	18586414	18586415
ENSG00000183785.10	chr22	18593096	18593097
ENSG00000184979.9	chr22	18632665	18632666
ENSG00000234764.2	chr22	18821206	18821207
ENSG00000183628.8	chr22	18893540	18893541
ENSG00000100033.12	chr22	18924065	18924066
ENSG00000273032.1	chr22	19005346	19005347
ENSG00000273311.1	chr22	19035887	19035888
ENSG00000070413.14	chr22	19109966	19109967
ENSG00000272682.1	chr22	19115961	19115962
ENSG00000206203.3	chr22	19118320	19118321
ENSG00000100056.7	chr22	19132196	19132197
ENSG00000260924.2	chr22	19158907	19158908
ENSG00000100075.5	chr22	19166342	19166343
ENSG00000070371.11	chr22	19279238	19279239
ENSG00000185608.4	chr22	19419424	19419425
ENSG00000100084.10	chr22	19435223	19435224
ENSG00000242259.4	chr22	19435754	19435755
ENSG00000273300.1	chr22	19441701	19441702
ENSG00000273212.1	chr22	19444025	19444026
ENSG00000070010.14	chr22	19466737	19466738
ENSG00000093009.5	chr22	19466981	19466982
ENSG00000184702.13	chr22	19701986	19701987
ENSG00000203618.5	chr22	19710467	19710468
ENSG00000235776.2	chr22	19779816	19779817
ENSG00000215012.4	chr22	19842418	19842419
ENSG00000185838.9	chr22	19842461	19842462
ENSG00000232926.1	chr22	19874811	19874812
ENSG00000093010.7	chr22	19929129	19929130
ENSG00000184470.15	chr22	19929340	19929341
ENSG00000265087.1	chr22	19951275	19951276
ENSG00000099889.9	chr22	20004330	20004331
ENSG00000183597.11	chr22	20004536	20004537
ENSG00000268292.1	chr22	20053227	20053228
ENSG00000128191.9	chr22	20067754	20067755
ENSG00000266567.1	chr22	20073268	20073269
ENSG00000221366.1	chr22	20073580	20073581
ENSG00000099901.12	chr22	20103460	20103461
ENSG00000099899.10	chr22	20104914	20104915
ENSG00000264346.1	chr22	20113924	20113925
ENSG00000099904.11	chr22	20116978	20116979
ENSG00000234409.4	chr22	20138398	20138399
ENSG00000236499.2	chr22	20193919	20193920
ENSG00000040608.9	chr22	20270768	20270769
ENSG00000273343.1	chr22	20306271	20306272
ENSG00000128185.5	chr22	20307602	20307603
ENSG00000273139.1	chr22	20308261	20308262
ENSG00000206176.5	chr22	20378813	20378814
ENSG00000215513.7	chr22	20427834	20427835
ENSG00000196622.6	chr22	20461785	20461786
ENSG00000161133.12	chr22	20745047	20745048
ENSG00000185252.13	chr22	20748404	20748405
ENSG00000244486.3	chr22	20792145	20792146
ENSG00000215493.3	chr22	20804408	20804409
ENSG00000236670.1	chr22	20838391	20838392
ENSG00000099910.12	chr22	20850169	20850170
ENSG00000099917.13	chr22	20850199	20850200
ENSG00000226287.3	chr22	21055219	21055220
ENSG00000234252.1	chr22	21077334	21077335
ENSG00000099937.6	chr22	21128166	21128167
ENSG00000099940.7	chr22	21213270	21213271
ENSG00000241973.6	chr22	21213704	21213705
ENSG00000272600.1	chr22	21245501	21245502
ENSG00000099942.8	chr22	21271713	21271714
ENSG00000237476.1	chr22	21311379	21311380
ENSG00000183773.11	chr22	21319395	21319396
ENSG00000099949.14	chr22	21333750	21333751
ENSG00000272829.1	chr22	21336043	21336044
ENSG00000184436.7	chr22	21356484	21356485
ENSG00000099957.12	chr22	21364096	21364097
ENSG00000224688.1	chr22	21496659	21496660
ENSG00000196934.3	chr22	21737662	21737663
ENSG00000169635.5	chr22	21771692	21771693
ENSG00000206140.5	chr22	21820711	21820712
ENSG00000183506.12	chr22	21871821	21871822
ENSG00000185651.10	chr22	21903735	21903736
ENSG00000161179.9	chr22	21984352	21984353
ENSG00000161180.6	chr22	21987004	21987005
ENSG00000128228.4	chr22	21996549	21996550
ENSG00000100023.13	chr22	22006558	22006559
ENSG00000272954.1	chr22	22016222	22016223
ENSG00000100027.10	chr22	22090122	22090123
ENSG00000100030.10	chr22	22221969	22221970
ENSG00000225544.1	chr22	22240011	22240012
ENSG00000224086.3	chr22	22292608	22292609
ENSG00000100034.9	chr22	22307208	22307209
ENSG00000100038.15	chr22	22337212	22337213
ENSG00000197549.5	chr22	22349824	22349825
ENSG00000253239.1	chr22	22380473	22380474
ENSG00000211637.2	chr22	22385331	22385332
ENSG00000253794.1	chr22	22398015	22398016
ENSG00000211638.2	chr22	22453109	22453110
ENSG00000182502.2	chr22	22472373	22472374
ENSG00000211639.2	chr22	22516591	22516592
ENSG00000211640.3	chr22	22550112	22550113
ENSG00000211642.2	chr22	22569183	22569184
ENSG00000272216.1	chr22	22641585	22641586
ENSG00000234630.1	chr22	22648097	22648098
ENSG00000272779.1	chr22	22657588	22657589
ENSG00000236850.4	chr22	22657588	22657589
ENSG00000211643.2	chr22	22673081	22673082
ENSG00000211644.2	chr22	22676827	22676828
ENSG00000223350.2	chr22	22697538	22697539
ENSG00000211648.2	chr22	22712086	22712087
ENSG00000211649.2	chr22	22723981	22723982
ENSG00000211650.2	chr22	22730354	22730355
ENSG00000211651.2	chr22	22735134	22735135
ENSG00000211652.2	chr22	22749355	22749356
ENSG00000211653.2	chr22	22764097	22764098
ENSG00000198477.3	chr22	22863504	22863505
ENSG00000185686.13	chr22	22901767	22901768
ENSG00000211658.2	chr22	23010757	23010758
ENSG00000211659.2	chr22	23029189	23029190
ENSG00000211660.3	chr22	23040273	23040274
ENSG00000211662.2	chr22	23054173	23054174
ENSG00000211663.2	chr22	23063107	23063108
ENSG00000211666.2	chr22	23101188	23101189
ENSG00000207833.1	chr22	23134976	23134977
ENSG00000211668.2	chr22	23134979	23134980
